==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refstestmftecmd.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:63
  OID Table root:   [0x13c04, 0x13c05, 0x13c06, 0x13c07]
  OID Table phys:   [0x3c04, 0x3c05, 0x3c06, 0x3c07]

Total objects: 250

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
  0x81d    Directory/File (0x81d)            0x10650        0x650   MSB+    +8
  0x81e    Directory/File (0x81e)            0x13234       0x3234   MSB+    +8
  0x81f    Directory/File (0x81f)            0x1303c       0x303c   MSB+    +8
  0x820    Directory/File (0x820)            0x11e4c       0x1e4c   MSB+    +8
  0x821    Directory/File (0x821)            0x11820       0x1820   MSB+    +8
  0x822    Directory/File (0x822)            0x12628       0x2628   MSB+    +8
  0x824    Directory/File (0x824)            0x12818       0x2818   MSB+    +8
  0x826    Directory/File (0x826)            0x10a4c        0xa4c   MSB+    +8
  0x828    Directory/File (0x828)            0x13e30       0x3e30   MSB+    +8
  0x829    Directory/File (0x829)            0x13040       0x3040   MSB+    +8
  0x82a    Directory/File (0x82a)            0x10084         0x84   MSB+    +8
  0x82d    Directory/File (0x82d)            0x13a2c       0x3a2c   MSB+    +8
  0x82f    Directory/File (0x82f)            0x11830       0x1830   MSB+    +8
  0x830    Directory/File (0x830)            0x1363c       0x363c   MSB+    +8
  0x831    Directory/File (0x831)            0x1224c       0x224c   MSB+    +8
  0x832    Directory/File (0x832)            0x13438       0x3438   MSB+    +8
  0x835    Directory/File (0x835)            0x11a28       0x1a28   MSB+    +8
  0x836    Directory/File (0x836)            0x11034       0x1034   MSB+    +8
  0x838    Directory/File (0x838)            0x10070         0x70   MSB+    +8
  0x83a    Directory/File (0x83a)            0x11450       0x1450   MSB+    +8
  0x83c    Directory/File (0x83c)            0x12234       0x2234   MSB+    +8
  0x840    Directory/File (0x840)            0x12470       0x2470   MSB+    +8
  0x841    Directory/File (0x841)            0x12e34       0x2e34   MSB+    +8
  0x843    Directory/File (0x843)            0x13e3c       0x3e3c   MSB+    +8
  0x846    Directory/File (0x846)            0x10c10        0xc10   MSB+    +8
  0x847    Directory/File (0x847)            0x10a50        0xa50   MSB+    +8
  0x848    Directory/File (0x848)            0x13238       0x3238   MSB+    +8
  0x84a    Directory/File (0x84a)            0x1006c         0x6c   MSB+    +8
  0x84c    Directory/File (0x84c)            0x12840       0x2840   MSB+    +8
  0x84f    Directory/File (0x84f)            0x10414        0x414   MSB+    +8
  0x851    Directory/File (0x851)            0x13418       0x3418   MSB+    +8
  0x853    Directory/File (0x853)            0x11640       0x1640   MSB+    +8
  0x855    Directory/File (0x855)            0x12a5c       0x2a5c   MSB+    +8
  0x856    Directory/File (0x856)            0x10c28        0xc28   MSB+    +8
  0x857    Directory/File (0x857)            0x11044       0x1044   MSB+    +8
  0x859    Directory/File (0x859)            0x1120c       0x120c   MSB+    +8
  0x85c    Directory/File (0x85c)            0x12a28       0x2a28   MSB+    +8
  0x85e    Directory/File (0x85e)            0x13824       0x3824   MSB+    +8
  0x85f    Directory/File (0x85f)            0x1382c       0x382c   MSB+    +8
  0x860    Directory/File (0x860)            0x12c4c       0x2c4c   MSB+    +8
  0x861    Directory/File (0x861)            0x11834       0x1834   MSB+    +8
  0x862    Directory/File (0x862)            0x10244        0x244   MSB+    +8
  0x863    Directory/File (0x863)            0x11234       0x1234   MSB+    +8
  0x864    Directory/File (0x864)            0x10a54        0xa54   MSB+    +8
  0x865    Directory/File (0x865)            0x11048       0x1048   MSB+    +8
  0x866    Directory/File (0x866)            0x10c18        0xc18   MSB+    +8
  0x868    Directory/File (0x868)            0x1007c         0x7c   MSB+    +8
  0x869    Directory/File (0x869)            0x10e54        0xe54   MSB+    +8
  0x86a    Directory/File (0x86a)            0x11434       0x1434   MSB+    +8
  0x86b    Directory/File (0x86b)            0x11e3c       0x1e3c   MSB+    +8
  0x86c    Directory/File (0x86c)            0x11c58       0x1c58   MSB+    +8
  0x86d    Directory/File (0x86d)            0x10e44        0xe44   MSB+    +8
  0x86e    Directory/File (0x86e)            0x13838       0x3838   MSB+    +8
  0x86f    Directory/File (0x86f)            0x13a34       0x3a34   MSB+    +8
  0x870    Directory/File (0x870)            0x13a60       0x3a60   MSB+    +8
  0x871    Directory/File (0x871)            0x1103c       0x103c   MSB+    +8
  0x872    Directory/File (0x872)            0x11a40       0x1a40   MSB+    +8
  0x873    Directory/File (0x873)            0x1024c        0x24c   MSB+    +8
  0x874    Directory/File (0x874)            0x12c50       0x2c50   MSB+    +8
  0x875    Directory/File (0x875)            0x12824       0x2824   MSB+    +8
  0x877    Directory/File (0x877)            0x12c58       0x2c58   MSB+    +8
  0x879    Directory/File (0x879)            0x10644        0x644   MSB+    +8
  0x87a    Directory/File (0x87a)            0x13a58       0x3a58   MSB+    +8
  0x87b    Directory/File (0x87b)            0x10c30        0xc30   MSB+    +8
  0x87c    Directory/File (0x87c)            0x1080c        0x80c   MSB+    +8
  0x87d    Directory/File (0x87d)            0x11448       0x1448   MSB+    +8
  0x87e    Directory/File (0x87e)            0x10e48        0xe48   MSB+    +8
  0x87f    Directory/File (0x87f)            0x1261c       0x261c   MSB+    +8
  0x880    Directory/File (0x880)            0x10e4c        0xe4c   MSB+    +8
  0x881    Directory/File (0x881)            0x13030       0x3030   MSB+    +8
  0x882    Directory/File (0x882)            0x10820        0x820   MSB+    +8
  0x883    Directory/File (0x883)            0x1283c       0x283c   MSB+    +8
  0x884    Directory/File (0x884)            0x11c68       0x1c68   MSB+    +8
  0x885    Directory/File (0x885)            0x13a64       0x3a64   MSB+    +8
  0x886    Directory/File (0x886)            0x10434        0x434   MSB+    +8
  0x887    Directory/File (0x887)            0x12248       0x2248   MSB+    +8

Detailed object entries
------------------------------------------------------------------------------

  OID 0x7 — Upcase Table
    Key (raw):  00000000000000000700000000000000
    VLCN tuple: [0x50020, 0x50021, 0x50022, 0x50023]
    PLCN tuple: [0x18020, 0x18021, 0x18022, 0x18023]
    Absolute:   0x19020000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x0 0x0

  OID 0x8 — Upcase Table (dup)
    Key (raw):  00000000000000000800000000000000
    VLCN tuple: [0x5001c, 0x5001d, 0x5001e, 0x5001f]
    PLCN tuple: [0x1801c, 0x1801d, 0x1801e, 0x1801f]
    Absolute:   0x1901c000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x0 0x0

  OID 0x9 — Logfile Information Table
    Key (raw):  00000000000000000900000000000000
    VLCN tuple: [0x50078, 0x50079, 0x5007a, 0x5007b]
    PLCN tuple: [0x18078, 0x18079, 0x1807a, 0x1807b]
    Absolute:   0x19078000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x0 0x0

  OID 0xa — Logfile Information (dup)
    Key (raw):  00000000000000000a00000000000000
    VLCN tuple: [0x50074, 0x50075, 0x50076, 0x50077]
    PLCN tuple: [0x18074, 0x18075, 0x18076, 0x18077]
    Absolute:   0x19074000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x0 0x0

  OID 0xd — Trash Table
    Key (raw):  00000000000000000d00000000000000
    VLCN tuple: [0x5007c, 0x5007d, 0x5007e, 0x5007f]
    PLCN tuple: [0x1807c, 0x1807d, 0x1807e, 0x1807f]
    Absolute:   0x1907c000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x2 0x0

  OID 0x30 — Session Activity Table
    Key (raw):  00000000000000003000000000000000
    VLCN tuple: [0x12c04, 0x12c05, 0x12c06, 0x12c07]
    PLCN tuple: [0x2c04, 0x2c05, 0x2c06, 0x2c07]
    Absolute:   0x3c04000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x12d9 0x4

  OID 0x500 — Volume Information
    Key (raw):  00000000000000000005000000000000
    VLCN tuple: [0x12e28, 0x12e29, 0x12e2a, 0x12e2b]
    PLCN tuple: [0x2e28, 0x2e29, 0x2e2a, 0x2e2b]
    Absolute:   0x3e28000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x12d4 0x4

  OID 0x501 — Volume Information (dup)
    Key (raw):  00000000000000000105000000000000
    VLCN tuple: [0x12e38, 0x12e39, 0x12e3a, 0x12e3b]
    PLCN tuple: [0x2e38, 0x2e39, 0x2e3a, 0x2e3b]
    Absolute:   0x3e38000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x12d4 0x4

  OID 0x520 — FS Metadata
    Key (raw):  00000000000000002005000000000000
    VLCN tuple: [0x13600, 0x13601, 0x13602, 0x13603]
    PLCN tuple: [0x3600, 0x3601, 0x3602, 0x3603]
    Absolute:   0x4600000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x538 0x3
    Extra bytes (8):
    00000050  01 05 00 00 00 00 00 00                           ........

  OID 0x530 — Security Descriptor Stream
    Key (raw):  00000000000000003005000000000000
    VLCN tuple: [0x12200, 0x12201, 0x12202, 0x12203]
    PLCN tuple: [0x2200, 0x2201, 0x2202, 0x2203]
    Absolute:   0x3200000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x1228 0x3

  OID 0x540 — Reparse Point Index
    Key (raw):  00000000000000004005000000000000
    VLCN tuple: [0x12a2c, 0x12a2d, 0x12a2e, 0x12a2f]
    PLCN tuple: [0x2a2c, 0x2a2d, 0x2a2e, 0x2a2f]
    Absolute:   0x3a2c000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x11ef 0x3

  OID 0x541 — Reparse Point Index (dup)
    Key (raw):  00000000000000004105000000000000
    VLCN tuple: [0x10e34, 0x10e35, 0x10e36, 0x10e37]
    PLCN tuple: [0xe34, 0xe35, 0xe36, 0xe37]
    Absolute:   0x1e34000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x11ef 0x3

  OID 0x600 — Root Directory
    Key (raw):  00000000000000000006000000000000
    VLCN tuple: [0x1360c, 0x1360d, 0x1360e, 0x1360f]
    PLCN tuple: [0x360c, 0x360d, 0x360e, 0x360f]
    Absolute:   0x460c000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x12d8 0x4
    Extra bytes (8):
    00000050  01 00 00 00 00 00 00 00                           ........

  OID 0x701 — Directory/File (0x701)
    Key (raw):  00000000000000000107000000000000
    VLCN tuple: [0x10200, 0x10201, 0x10202, 0x10203]
    PLCN tuple: [0x200, 0x201, 0x202, 0x203]
    Absolute:   0x1200000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x12d9 0x4
    Extra bytes (8):
    00000050  28 00 00 00 00 00 00 00                           (.......

  OID 0x702 — Directory/File (0x702)
    Key (raw):  00000000000000000207000000000000
    VLCN tuple: [0x12404, 0x12405, 0x12406, 0x12407]
    PLCN tuple: [0x2404, 0x2405, 0x2406, 0x2407]
    Absolute:   0x3404000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x6c 0x2
    Extra bytes (8):
    00000050  01 00 00 00 00 00 00 00                           ........

  OID 0x703 — Directory/File (0x703)
    Key (raw):  00000000000000000307000000000000
    VLCN tuple: [0x12a00, 0x12a01, 0x12a02, 0x12a03]
    PLCN tuple: [0x2a00, 0x2a01, 0x2a02, 0x2a03]
    Absolute:   0x3a00000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x12d8 0x4
    Extra bytes (8):
    00000050  01 00 00 00 00 00 00 00                           ........

  OID 0x704 — Directory/File (0x704)
    Key (raw):  00000000000000000407000000000000
    VLCN tuple: [0x12800, 0x12801, 0x12802, 0x12803]
    PLCN tuple: [0x2800, 0x2801, 0x2802, 0x2803]
