==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:32767
  OID Table root:   [0x11610, 0x11611, 0x11612, 0x11613]
  OID Table phys:   [0x1610, 0x1611, 0x1612, 0x1613]

Total objects: 230

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
  0x7f5    Directory/File (0x7f5)            0x13e34       0x3e34   MSB+    +8
  0x7f8    Directory/File (0x7f8)            0x11644       0x1644   MSB+    +8
  0x7fa    Directory/File (0x7fa)            0x12630       0x2630   MSB+    +8
  0x7fb    Directory/File (0x7fb)            0x12e28       0x2e28   MSB+    +8
  0x7fc    Directory/File (0x7fc)            0x11824       0x1824   MSB+    +8
  0x7fd    Directory/File (0x7fd)            0x12c44       0x2c44   MSB+    +8
  0x804    Directory/File (0x804)            0x11430       0x1430   MSB+    +8
  0x805    Directory/File (0x805)            0x13628       0x3628   MSB+    +8
  0x806    Directory/File (0x806)            0x1083c        0x83c   MSB+    +8
  0x807    Directory/File (0x807)            0x12a28       0x2a28   MSB+    +8
  0x808    Directory/File (0x808)            0x11830       0x1830   MSB+    +8
  0x80d    Directory/File (0x80d)            0x12814       0x2814   MSB+    +8
  0x80e    Directory/File (0x80e)            0x11640       0x1640   MSB+    +8
  0x812    Directory/File (0x812)            0x10238        0x238   MSB+    +8
  0x813    Directory/File (0x813)            0x12228       0x2228   MSB+    +8
  0x814    Directory/File (0x814)            0x1163c       0x163c   MSB+    +8
  0x817    Directory/File (0x817)            0x10618        0x618   MSB+    +8
  0x81a    Directory/File (0x81a)            0x10620        0x620   MSB+    +8
  0x81c    Directory/File (0x81c)            0x13a24       0x3a24   MSB+    +8
  0x81d    Directory/File (0x81d)            0x11020       0x1020   MSB+    +8
  0x81e    Directory/File (0x81e)            0x10430        0x430   MSB+    +8

Detailed object entries
------------------------------------------------------------------------------

  OID 0x7 — Upcase Table
    Key (raw):  00000000000000000700000000000000
    VLCN tuple: [0x10050, 0x10051, 0x10052, 0x10053]
    PLCN tuple: [0x50, 0x51, 0x52, 0x53]
    Absolute:   0x1050000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x0 0x0

  OID 0x8 — Upcase Table (dup)
    Key (raw):  00000000000000000800000000000000
    VLCN tuple: [0x1004c, 0x1004d, 0x1004e, 0x1004f]
    PLCN tuple: [0x4c, 0x4d, 0x4e, 0x4f]
    Absolute:   0x104c000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x0 0x0

  OID 0x9 — Logfile Information Table
    Key (raw):  00000000000000000900000000000000
    VLCN tuple: [0x100a8, 0x100a9, 0x100aa, 0x100ab]
    PLCN tuple: [0xa8, 0xa9, 0xaa, 0xab]
    Absolute:   0x10a8000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x0 0x0

  OID 0xa — Logfile Information (dup)
