==============================================================================
ReFS MLog Analysis — win11refs2tspecials.raw
ReFS v3.14 | cluster_size=0x1000 | objects=230
==============================================================================

==============================================================================
MLog Control Area
==============================================================================
  Control PLCN:      0x30
  Signature:         MLog
  Format magic:      0x6dfbad7b (per-volume const, NOT a CRC — E42/#343; differs after a reformat)
  Version:           1
  Sector size:       0x1000
  UUID:              525a042c-58aa-4cca-a4f2-125f8bebb05f
  Sequence:          69
  Write counter:     2
  Flags:             0x1
  Total entries:     0
  Generation:        4995
  Data area:         0x8000 - 0x48000 (262144 clusters)
  LSN oldest:        0x1383.1
  Dispatch table:    v3.14 (44 opcodes)

==============================================================================
Data Area Summary
==============================================================================
  Total pages:       262144
  zero                 257150  ( 98.1%)
  MLog                   4994  (  1.9%)

==============================================================================
Redo Records
==============================================================================
  Total records:      7223
  Transaction starts: 2666
  Transaction commits: 0

     #  Opcode  Name                                             OID   Flags   Size
  ────  ──────  ────────────────────────────────────────  ──────────  ──────  ─────
   337  0x0007  RedoFree                                        0x11       S    312
   338  0x0007  RedoFree                                        0x11       S    312
   339  0x0007  RedoFree                                        0x11       S    312
   340  0x0007  RedoFree                                        0x11       S    312
   341  0x0007  RedoFree                                        0x11       S    312
   342  0x0007  RedoFree                                        0x11       S    312
   343  0x0007  RedoFree                                        0x11       S    312
   344  0x0007  RedoFree                                        0x11       S    312
   345  0x0007  RedoFree                                        0x11       S    312
   346  0x0007  RedoFree                                        0x11       S    312
   347  0x0007  RedoFree                                        0x11       S    312
   348  0x0007  RedoFree                                        0x11       S    312
   349  0x0007  RedoFree                                        0x11       S    312
   350  0x0007  RedoFree                                        0x11       S    312
   351  0x0007  RedoFree                                        0x11       S    312
   352  0x0007  RedoFree                                        0x11       S    312
   353  0x0007  RedoFree                                        0x11       S    312
   354  0x0007  RedoFree                                        0x11       S    312
   355  0x0007  RedoFree                                        0x11       S    312
   356  0x0007  RedoFree                                        0x11       S    312
   357  0x0007  RedoFree                                        0x11       S    312
   358  0x0007  RedoFree                                        0x11       S    312
   359  0x0007  RedoFree                                        0x11       S    312
   360  0x0007  RedoFree                                        0x11       S    312
   361  0x0007  RedoFree                                        0x11       S    312
   362  0x0007  RedoFree                                        0x11       S    312
   363  0x0007  RedoFree                                        0x11       S    312
   364  0x0007  RedoFree                                        0x11       S    312
   365  0x0007  RedoFree                                        0x11       S    312
   366  0x0007  RedoFree                                        0x11       S    312
   367  0x0007  RedoFree                                        0x11       S    312
   368  0x0007  RedoFree                                        0x11       S    312
   369  0x0007  RedoFree                                        0x11       S    312
   370  0x0007  RedoFree                                        0x11       S    312
   371  0x0007  RedoFree                                        0x11       S    312
   372  0x0007  RedoFree                                        0x11       S    312
   373  0x0007  RedoFree                                        0x11       S    312
   374  0x0007  RedoFree                                        0x11       S    312
   375  0x0007  RedoFree                                        0x11       S    312
   376  0x0007  RedoFree                                        0x11       S    312
   377  0x0007  RedoFree                                        0x11       S    312
   378  0x0007  RedoFree                                        0x11       S    312
   379  0x0007  RedoFree                                        0x11       S    312
   380  0x0007  RedoFree                                        0x11       S    312
   381  0x0007  RedoFree                                        0x11       S    312
