==============================================================================
ReFS Parent-Child Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  PC Table root:    [0x13604, 0x13605, 0x13606, 0x13607]
  PC Table phys:    [0x3604, 0x3605, 0x3606, 0x3607]
  Page signature:   MSB+

------------------------------------------------------------------------------
Parent-Child Relationships
------------------------------------------------------------------------------
  Total entries:      218
  Unique parents:     99
  Unique children:    218
  Unique OIDs:        219
  Tree roots:         0x600

  Parent         → Child            Parent Name               → Child Name
  │   │   │   │   ├── 0x75b Dir/File (0x75b)
  │   │   │   │   ├── 0x774 Dir/File (0x774)
  │   │   │   ├── 0x75a Dir/File (0x75a)
  │   │   ├── 0x716 Dir/File (0x716) (4 children)
  │   │   │   ├── 0x72b Dir/File (0x72b) (3 children)
  │   │   │   │   ├── 0x703 Dir/File (0x703) (11 children)
  │   │   │   │   │   ├── 0x704 Dir/File (0x704) (1 children)
  │   │   │   │   │   │   ├── 0x70e Dir/File (0x70e) (2 children)
  │   │   │   │   │   │   │   ├── 0x717 Dir/File (0x717)
  │   │   │   │   │   │   │   ├── 0x73e Dir/File (0x73e)
  │   │   │   │   │   ├── 0x705 Dir/File (0x705) (3 children)
  │   │   │   │   │   │   ├── 0x713 Dir/File (0x713) (1 children)
  │   │   │   │   │   │   │   ├── 0x71e Dir/File (0x71e)
  │   │   │   │   │   │   ├── 0x71a Dir/File (0x71a)
  │   │   │   │   │   │   ├── 0x723 Dir/File (0x723)
  │   │   │   │   │   ├── 0x707 Dir/File (0x707) (2 children)
  │   │   │   │   │   │   ├── 0x70c Dir/File (0x70c) (1 children)
  │   │   │   │   │   │   │   ├── 0x720 Dir/File (0x720)
  │   │   │   │   │   │   ├── 0x71f Dir/File (0x71f)
  │   │   │   │   │   ├── 0x70d Dir/File (0x70d) (3 children)
  │   │   │   │   │   │   ├── 0x71b Dir/File (0x71b) (2 children)
  │   │   │   │   │   │   │   ├── 0x728 Dir/File (0x728)
  │   │   │   │   │   │   │   ├── 0x737 Dir/File (0x737)
  │   │   │   │   │   │   ├── 0x725 Dir/File (0x725)
  │   │   │   │   │   │   ├── 0x730 Dir/File (0x730)
  │   │   │   │   │   ├── 0x714 Dir/File (0x714) (3 children)
  │   │   │   │   │   │   ├── 0x708 Dir/File (0x708) (2 children)
  │   │   │   │   │   │   │   ├── 0x712 Dir/File (0x712)
  │   │   │   │   │   │   │   ├── 0x724 Dir/File (0x724)
  │   │   │   │   │   │   ├── 0x70b Dir/File (0x70b)
  │   │   │   │   │   │   ├── 0x744 Dir/File (0x744)
  │   │   │   │   │   ├── 0x718 Dir/File (0x718) (2 children)
  │   │   │   │   │   │   ├── 0x741 Dir/File (0x741)
  │   │   │   │   │   │   ├── 0x749 Dir/File (0x749)
  │   │   │   │   │   ├── 0x722 Dir/File (0x722)
  │   │   │   │   │   ├── 0x727 Dir/File (0x727) (1 children)
  │   │   │   │   │   │   ├── 0x745 Dir/File (0x745)
  │   │   │   │   │   ├── 0x738 Dir/File (0x738) (2 children)
  │   │   │   │   │   │   ├── 0x762 Dir/File (0x762)
  │   │   │   │   │   │   ├── 0x763 Dir/File (0x763)
  │   │   │   │   │   ├── 0x74d Dir/File (0x74d)
  │   │   │   │   │   ├── 0x74e Dir/File (0x74e)
  │   │   │   │   ├── 0x751 Dir/File (0x751)
  │   │   │   │   ├── 0x755 Dir/File (0x755) (1 children)
  │   │   │   │   │   ├── 0x767 Dir/File (0x767)
  │   │   │   ├── 0x734 Dir/File (0x734) (2 children)
  │   │   │   │   ├── 0x73f Dir/File (0x73f) (2 children)
  │   │   │   │   │   ├── 0x748 Dir/File (0x748)
  │   │   │   │   │   ├── 0x75c Dir/File (0x75c)
  │   │   │   │   ├── 0x75e Dir/File (0x75e) (1 children)
  │   │   │   │   │   ├── 0x76e Dir/File (0x76e)
  │   │   │   ├── 0x764 Dir/File (0x764) (1 children)
  │   │   │   │   ├── 0x765 Dir/File (0x765) (1 children)
  │   │   │   │   │   ├── 0x771 Dir/File (0x771)
  │   │   │   ├── 0x769 Dir/File (0x769) (1 children)
  │   │   │   │   ├── 0x76b Dir/File (0x76b)
  │   │   ├── 0x72d Dir/File (0x72d) (2 children)
  │   │   │   ├── 0x739 Dir/File (0x739) (1 children)
  │   │   │   │   ├── 0x756 Dir/File (0x756)
  │   │   │   ├── 0x742 Dir/File (0x742) (1 children)
  │   │   │   │   ├── 0x753 Dir/File (0x753) (1 children)
  │   │   │   │   │   ├── 0x758 Dir/File (0x758)
  │   │   ├── 0x75d Dir/File (0x75d) (1 children)
  │   │   │   ├── 0x760 Dir/File (0x760)
  │   │   ├── 0x75f Dir/File (0x75f) (2 children)
  │   │   │   ├── 0x74f Dir/File (0x74f) (1 children)
  │   │   │   │   ├── 0x770 Dir/File (0x770)
  │   │   │   ├── 0x772 Dir/File (0x772)
  │   ├── 0x775 Dir/File (0x775) (7 children)
  │   │   ├── 0x776 Dir/File (0x776) (2 children)
  │   │   │   ├── 0x78f Dir/File (0x78f) (5 children)
  │   │   │   │   ├── 0x790 Dir/File (0x790)
  │   │   │   │   ├── 0x794 Dir/File (0x794) (2 children)
  │   │   │   │   │   ├── 0x79f Dir/File (0x79f)
  │   │   │   │   │   ├── 0x7ae Dir/File (0x7ae)
  │   │   │   │   ├── 0x7b0 Dir/File (0x7b0) (3 children)
  │   │   │   │   │   ├── 0x7b2 Dir/File (0x7b2)
  │   │   │   │   │   ├── 0x7ba Dir/File (0x7ba)
  │   │   │   │   │   ├── 0x7c8 Dir/File (0x7c8)
  │   │   │   │   ├── 0x7b6 Dir/File (0x7b6)
  │   │   │   │   ├── 0x7c1 Dir/File (0x7c1) (3 children)
  │   │   │   │   │   ├── 0x7c2 Dir/File (0x7c2)
  │   │   │   │   │   ├── 0x7ce Dir/File (0x7ce)
  │   │   │   │   │   ├── 0x7d2 Dir/File (0x7d2)
  │   │   │   ├── 0x7cb Dir/File (0x7cb) (1 children)
  │   │   │   │   ├── 0x7cf Dir/File (0x7cf) (1 children)
  │   │   │   │   │   ├── 0x7c5 Dir/File (0x7c5)
  │   │   ├── 0x779 Dir/File (0x779) (7 children)
  │   │   │   ├── 0x78a Dir/File (0x78a) (2 children)
  │   │   │   │   ├── 0x777 Dir/File (0x777) (8 children)
  │   │   │   │   │   ├── 0x778 Dir/File (0x778)
  │   │   │   │   │   ├── 0x782 Dir/File (0x782) (1 children)
  │   │   │   │   │   │   ├── 0x79b Dir/File (0x79b)
  │   │   │   │   │   ├── 0x789 Dir/File (0x789)
  │   │   │   │   │   ├── 0x78e Dir/File (0x78e)
  │   │   │   │   │   ├── 0x7ac Dir/File (0x7ac)
  │   │   │   │   │   ├── 0x7b4 Dir/File (0x7b4)
  │   │   │   │   │   ├── 0x7b8 Dir/File (0x7b8)
  │   │   │   │   │   ├── 0x7dc Dir/File (0x7dc)
  │   │   │   │   ├── 0x77d Dir/File (0x77d) (7 children)
  │   │   │   │   │   ├── 0x780 Dir/File (0x780) (1 children)
  │   │   │   │   │   │   ├── 0x7a4 Dir/File (0x7a4)
  │   │   │   │   │   ├── 0x78c Dir/File (0x78c)
  │   │   │   │   │   ├── 0x791 Dir/File (0x791)
  │   │   │   │   │   ├── 0x797 Dir/File (0x797) (1 children)
  │   │   │   │   │   │   ├── 0x798 Dir/File (0x798) (2 children)
  │   │   │   │   │   │   │   ├── 0x79d Dir/File (0x79d)
  │   │   │   │   │   │   │   ├── 0x7a6 Dir/File (0x7a6)
  │   │   │   │   │   ├── 0x7a7 Dir/File (0x7a7)
  │   │   │   │   │   ├── 0x7b9 Dir/File (0x7b9)
  │   │   │   │   │   ├── 0x7dd Dir/File (0x7dd)
  │   │   │   ├── 0x78b Dir/File (0x78b)
  │   │   │   ├── 0x7af Dir/File (0x7af) (2 children)
  │   │   │   │   ├── 0x7bb Dir/File (0x7bb) (1 children)
