ref_id,artifact,artifact_type,locus_type,locus,note
MD_DEL_RA_003,proofs/validation/MD_DEL_RA_003.csv,matrix,all-rows,,
MD_DISK_RA_003,proofs/validation/MD_DISK_RA_003.csv,matrix,all-rows,,
MD_DISK_RA_004,proofs/validation/MD_DISK_RA_004.csv,matrix,all-rows,,
MD_DISK_RA_006,proofs/validation/MD_DISK_RA_006.csv,matrix,all-rows,,
MD_DISK_RA_008,proofs/validation/MD_DISK_RA_008.csv,matrix,all-rows,,
MD_DISK_RA_009,proofs/validation/MD_DISK_RA_009.csv,matrix,all-rows,,
MD_DISK_RA_010,proofs/validation/MD_DISK_RA_010.csv,matrix,all-rows,,
MD_EFS_RA_001,proofs/validation/MD_EFS_RA_001.csv,matrix,all-rows,,
MD_EFS_RA_002,proofs/validation/MD_EFS_RA_002.csv,matrix,all-rows,,
MD_EFS_RA_003,proofs/validation/MD_EFS_RA_003.csv,matrix,all-rows,,
MD_LK_RA_001,proofs/validation/MD_LK_RA_001.csv,matrix,all-rows,,
MD_LK_RA_002,proofs/validation/MD_LK_RA_002.csv,matrix,all-rows,,
MD_LK_RA_003,proofs/validation/MD_LK_RA_003.csv,matrix,all-rows,,
MD_LK_RA_004,proofs/validation/MD_LK_RA_004.csv,matrix,all-rows,,
MD_LK_RA_005,proofs/validation/MD_LK_RA_005.csv,matrix,all-rows,,
MD_LK_RA_006,proofs/validation/MD_LK_RA_006.csv,matrix,all-rows,,
MD_LK_RA_007,proofs/validation/MD_LK_RA_007.csv,matrix,all-rows,,
MD_LK_RA_008,proofs/validation/MD_LK_RA_008.csv,matrix,all-rows,,
MD_LK_RA_009,proofs/validation/MD_LK_RA_009.csv,matrix,all-rows,,
MD_MISC_001,proofs/validation/MD_MISC_001.csv,matrix,all-rows,,
MD_MISC_002,proofs/validation/MD_MISC_002.csv,matrix,all-rows,,
MD_SECT_001,proofs/validation/MD_SECT_001.csv,matrix,all-rows,,
MD_SNAP_RA_001,proofs/validation/MD_SNAP_RA_001.csv,matrix,all-rows,,
MD_SNAP_RA_002,proofs/validation/MD_SNAP_RA_002.csv,matrix,all-rows,,
MD_SNAP_RA_003,proofs/validation/MD_SNAP_RA_003.csv,matrix,all-rows,,
