seq,timestamp,action,path,name,oid,opcodes,record_count,plcn,image
122,2026-05-23T07:04:53.707Z,CREATE,OID 0x726,MSI9d99f.tmp,0x726,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33000,win11refstestmftecmd.raw
123,2026-05-23T07:04:56.743Z,CREATE,OID 0x727,MSI9d9a5.tmp,0x727,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33001,win11refstestmftecmd.raw
124,2026-05-23T07:04:59.604Z,CREATE,OID 0x728,MSI9d9ab.tmp,0x728,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33002,win11refstestmftecmd.raw
125,2026-05-23T07:05:02.217Z,CREATE,OID 0x729,MSI9d9b1.tmp,0x729,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33003,win11refstestmftecmd.raw
126,2026-05-23T07:05:09.035Z,CREATE,OID 0x72a,MSI9d9b7.tmp,0x72a,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33004,win11refstestmftecmd.raw
127,2026-05-23T07:05:20.468Z,CREATE,OID 0x72b,MSI9d9bd.tmp,0x72b,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33005,win11refstestmftecmd.raw
128,2026-05-23T07:05:27.293Z,CREATE,OID 0x72c,MSI9d9c3.tmp,0x72c,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33006,win11refstestmftecmd.raw
129,2026-05-23T07:05:37.078Z,CREATE,OID 0x72d,MSI9d9c9.tmp,0x72d,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33007,win11refstestmftecmd.raw
130,2026-05-23T07:05:38.873Z,CREATE,OID 0x72e,MSI9d9cf.tmp,0x72e,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33008,win11refstestmftecmd.raw
131,2026-05-23T07:05:40.494Z,CREATE,OID 0x72f,MSI9d9d5.tmp,0x72f,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33009,win11refstestmftecmd.raw
